               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12119,            0.024224,            0.043429,           0.0015655,            0.014085,          0.00090242,          0.00023239,              0.1038,            0.023719,            0.040104,             0.00325,             0.00325,             0.07075
                   1,            0.092897,            0.020127,            0.037258,            0.073607,              0.1485,            0.050022,             0.01257,            0.093368,            0.020423,            0.038894,           0.0044108,           0.0044108,            0.038578
                   2,            0.073181,            0.020317,             0.03544,            0.048734,             0.48093,            0.094629,            0.029457,            0.076277,            0.019375,            0.035069,           0.0033717,           0.0033717,            0.004205
