               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029814,           0.0065092,           0.0034405,             0.95556,             0.89025,             0.95501,              0.7371,            0.023883,           0.0075805,           0.0045513,            0.006535,            0.006535,            0.006535
                  37,            0.031623,           0.0065416,           0.0040176,             0.96833,             0.88372,             0.94565,             0.69722,            0.032501,           0.0072112,           0.0043553,            0.006436,            0.006436,            0.006436
                  38,            0.028746,           0.0060478,           0.0044736,             0.94717,             0.89722,             0.94105,             0.69353,            0.024314,           0.0074672,           0.0050706,            0.006337,            0.006337,            0.006337
                  39,            0.028314,           0.0062611,           0.0041319,             0.97867,             0.87528,              0.9417,             0.73915,            0.024253,           0.0075842,           0.0050485,            0.006238,            0.006238,            0.006238
                  40,            0.029245,           0.0062007,           0.0035373,             0.96127,              0.8834,             0.94607,             0.72893,            0.024917,           0.0078317,           0.0050492,            0.006139,            0.006139,            0.006139
                  41,            0.027659,           0.0063027,           0.0034247,             0.97073,             0.87375,             0.94998,             0.72615,            0.024017,           0.0076673,           0.0047434,             0.00604,             0.00604,             0.00604
                  42,            0.029344,           0.0062313,            0.003508,             0.97674,             0.88506,              0.9468,             0.73624,            0.027184,           0.0073509,           0.0041968,            0.005941,            0.005941,            0.005941
                  43,            0.027518,           0.0058521,           0.0034129,             0.96024,             0.86368,             0.93206,             0.68979,            0.025831,           0.0076353,           0.0040923,            0.005842,            0.005842,            0.005842
                  44,            0.028023,           0.0060485,             0.00318,             0.97238,             0.89517,              0.9507,             0.72999,            0.023167,           0.0073128,             0.00395,            0.005743,            0.005743,            0.005743
                  45,            0.027595,            0.005917,           0.0028839,             0.97008,             0.89491,             0.94367,             0.74005,            0.023534,           0.0072599,           0.0037176,            0.005644,            0.005644,            0.005644
                  46,            0.025701,           0.0059132,           0.0032174,             0.94268,             0.91209,             0.94372,             0.76013,            0.022564,           0.0070377,           0.0039247,            0.005545,            0.005545,            0.005545
                  47,            0.025724,           0.0057525,           0.0029499,             0.92127,             0.92942,             0.95354,             0.73069,            0.022334,           0.0070919,           0.0037286,            0.005446,            0.005446,            0.005446
                  48,            0.024248,           0.0055882,           0.0029379,             0.94536,             0.89248,             0.95341,             0.75562,            0.021902,           0.0069908,           0.0037828,            0.005347,            0.005347,            0.005347
                  49,            0.026002,           0.0054123,           0.0029647,             0.96419,             0.87588,             0.94512,             0.74383,            0.021506,           0.0071269,           0.0037332,            0.005248,            0.005248,            0.005248
                  50,            0.022547,            0.005485,           0.0028444,             0.92445,             0.92494,             0.94914,             0.74848,            0.020761,           0.0069185,           0.0036746,            0.005149,            0.005149,            0.005149
                  51,             0.02398,           0.0057133,           0.0026211,             0.95424,             0.90703,             0.95634,             0.75033,            0.021972,           0.0067874,           0.0034207,             0.00505,             0.00505,             0.00505
                  52,             0.02382,           0.0053512,           0.0027761,             0.97689,             0.90782,             0.96006,             0.75691,            0.021311,           0.0067692,           0.0030919,            0.004951,            0.004951,            0.004951
                  53,            0.026062,           0.0056127,           0.0025501,              0.9407,             0.90468,             0.95061,             0.75771,            0.021662,           0.0066676,           0.0032068,            0.004852,            0.004852,            0.004852
                  54,            0.025342,            0.005471,            0.003216,             0.94604,              0.8968,             0.95085,             0.76275,            0.022399,           0.0065269,           0.0036418,            0.004753,            0.004753,            0.004753
                  55,            0.023989,           0.0055788,           0.0032512,             0.96926,             0.93978,             0.96058,             0.75678,            0.020253,           0.0065158,           0.0034031,            0.004654,            0.004654,            0.004654
                  56,             0.02346,           0.0054187,           0.0028031,             0.96165,             0.91074,             0.96157,             0.73267,            0.022306,           0.0067667,           0.0032188,            0.004555,            0.004555,            0.004555
                  57,            0.024132,           0.0053009,           0.0026475,             0.96726,             0.91182,             0.96008,             0.77787,              0.0198,           0.0064952,           0.0030806,            0.004456,            0.004456,            0.004456
                  58,            0.021956,           0.0054465,           0.0026188,             0.96859,             0.90705,             0.95017,              0.7798,            0.020128,           0.0065035,            0.003545,            0.004357,            0.004357,            0.004357
                  59,            0.022461,           0.0050312,            0.002478,             0.95218,             0.91509,             0.94637,             0.76817,            0.020194,           0.0065768,            0.003172,            0.004258,            0.004258,            0.004258
                  60,            0.022662,           0.0054079,           0.0024927,             0.97208,              0.9157,             0.95477,             0.74974,            0.020266,           0.0067751,           0.0031489,            0.004159,            0.004159,            0.004159
                  61,             0.02058,            0.005245,            0.002215,             0.99124,              0.8834,              0.9544,             0.78237,            0.018961,            0.006793,           0.0031814,             0.00406,             0.00406,             0.00406
                  62,            0.021555,           0.0050189,           0.0023666,             0.95249,             0.91797,             0.94857,             0.76788,            0.019346,           0.0068592,           0.0029525,            0.003961,            0.003961,            0.003961
                  63,            0.022732,           0.0051224,           0.0022132,             0.94426,             0.91367,             0.95165,             0.77717,             0.01938,           0.0066493,           0.0030766,            0.003862,            0.003862,            0.003862
                  64,            0.021162,               0.005,           0.0026709,             0.94296,             0.91331,             0.95302,              0.7751,            0.018825,           0.0068098,            0.003001,            0.003763,            0.003763,            0.003763
                  65,            0.021944,           0.0050291,           0.0023069,             0.99305,             0.90126,             0.95516,             0.75994,            0.020251,           0.0068126,           0.0029808,            0.003664,            0.003664,            0.003664
                  66,            0.021398,           0.0047673,            0.002041,             0.98091,             0.89796,             0.95604,             0.78255,            0.019924,           0.0067568,            0.003162,            0.003565,            0.003565,            0.003565
                  67,            0.020995,             0.00492,            0.002078,             0.99081,             0.88401,             0.95325,             0.78836,            0.018339,            0.006601,           0.0031044,            0.003466,            0.003466,            0.003466
                  68,            0.020216,           0.0050591,            0.001941,             0.97761,              0.9103,              0.9576,             0.78758,            0.018424,           0.0066271,            0.002946,            0.003367,            0.003367,            0.003367
                  69,            0.020074,           0.0047622,           0.0022566,             0.96934,             0.91563,             0.95602,             0.78373,            0.018477,           0.0064264,           0.0029092,            0.003268,            0.003268,            0.003268
                  70,            0.020974,           0.0049052,           0.0020447,             0.97304,             0.91868,             0.94947,             0.77215,             0.01848,           0.0066245,           0.0028426,            0.003169,            0.003169,            0.003169
                  71,            0.020999,           0.0048721,           0.0017979,              0.9717,             0.93336,             0.95188,             0.78755,             0.02095,           0.0064159,             0.00289,             0.00307,             0.00307,             0.00307
                  72,            0.020655,            0.004886,           0.0021169,             0.97325,             0.90173,             0.94973,             0.77596,            0.018761,           0.0064516,           0.0030575,            0.002971,            0.002971,            0.002971
                  73,            0.019386,            0.004876,            0.002112,             0.97752,             0.89429,             0.95081,             0.79443,            0.017391,           0.0064443,           0.0029941,            0.002872,            0.002872,            0.002872
                  74,            0.020074,           0.0051255,           0.0021144,             0.98644,             0.88788,             0.95067,             0.78703,            0.017416,           0.0064518,           0.0028659,            0.002773,            0.002773,            0.002773
                  75,            0.018069,           0.0050759,           0.0017291,             0.98468,             0.89433,              0.9473,             0.79197,            0.016935,            0.006562,           0.0028641,            0.002674,            0.002674,            0.002674
                  76,            0.018171,           0.0048168,           0.0018131,             0.99118,             0.88195,             0.95038,             0.80481,            0.016202,           0.0064978,           0.0028375,            0.002575,            0.002575,            0.002575
                  77,             0.01854,            0.004548,           0.0018258,              0.9385,             0.92091,             0.95465,             0.80379,            0.017017,           0.0064208,           0.0029011,            0.002476,            0.002476,            0.002476
                  78,             0.01877,           0.0047199,           0.0019959,               0.967,             0.90344,             0.95257,             0.79207,            0.017548,           0.0063511,           0.0027216,            0.002377,            0.002377,            0.002377
                  79,            0.019034,           0.0047507,           0.0017934,             0.99564,             0.87227,             0.95344,             0.79071,            0.017978,           0.0064101,           0.0027038,            0.002278,            0.002278,            0.002278
                  80,            0.018019,           0.0045889,            0.001871,             0.94529,              0.9303,             0.95613,             0.80073,            0.016804,             0.00651,            0.002592,            0.002179,            0.002179,            0.002179
                  81,            0.017638,           0.0046889,           0.0018878,             0.95707,             0.93166,             0.95769,             0.79271,            0.016879,           0.0064209,           0.0025635,             0.00208,             0.00208,             0.00208
                  82,            0.017575,           0.0044823,           0.0019477,             0.94519,             0.93075,             0.95775,             0.80182,            0.017058,           0.0063188,           0.0026452,            0.001981,            0.001981,            0.001981
                  83,            0.018222,           0.0045063,           0.0016811,             0.98776,             0.90052,              0.9594,             0.79483,            0.016477,           0.0063738,           0.0026709,            0.001882,            0.001882,            0.001882
                  84,            0.017182,           0.0044776,            0.001807,             0.98652,             0.88327,             0.95618,             0.80313,            0.016791,           0.0063877,           0.0027609,            0.001783,            0.001783,            0.001783
                  85,            0.017618,           0.0046209,           0.0017852,             0.98564,             0.88532,             0.94932,             0.79137,            0.017016,           0.0063512,           0.0027264,            0.001684,            0.001684,            0.001684
                  86,            0.016288,            0.004383,           0.0016842,              0.9641,             0.90239,             0.95081,             0.79772,            0.016268,           0.0062423,            0.002585,            0.001585,            0.001585,            0.001585
                  87,            0.017167,           0.0047022,           0.0016899,             0.97855,             0.89783,             0.95135,             0.79835,            0.017069,           0.0064486,           0.0025707,            0.001486,            0.001486,            0.001486
                  88,            0.018054,           0.0046989,           0.0017913,             0.98434,             0.88145,             0.94979,             0.80255,            0.016033,           0.0063588,           0.0025465,            0.001387,            0.001387,            0.001387
                  89,             0.01622,           0.0046085,           0.0014246,             0.97265,             0.89694,             0.94981,             0.79258,            0.015847,           0.0063464,           0.0024918,            0.001288,            0.001288,            0.001288
                  90,             0.01611,            0.004256,           0.0016225,             0.97625,             0.90673,             0.95312,             0.80353,            0.015822,           0.0062516,           0.0024744,            0.001189,            0.001189,            0.001189
                  91,            0.017245,           0.0044111,           0.0018423,             0.95854,             0.90609,             0.95344,             0.80037,            0.015605,           0.0062044,           0.0026098,             0.00109,             0.00109,             0.00109
                  92,            0.016084,            0.004512,           0.0015549,             0.95726,             0.90661,             0.95193,             0.80083,             0.01554,           0.0060269,           0.0026654,            0.000991,            0.000991,            0.000991
                  93,            0.016241,           0.0046055,           0.0015214,             0.99636,             0.88902,             0.95305,             0.80105,            0.015877,           0.0060166,           0.0025605,            0.000892,            0.000892,            0.000892
                  94,            0.017005,           0.0044538,           0.0016977,             0.97899,             0.89252,             0.95237,              0.8089,            0.015609,           0.0061061,           0.0024962,            0.000793,            0.000793,            0.000793
                  95,            0.015729,           0.0043938,           0.0014846,             0.98875,             0.88825,             0.95688,             0.80573,            0.015783,           0.0060243,           0.0024689,            0.000694,            0.000694,            0.000694
                  96,             0.01562,           0.0044213,           0.0013037,             0.99609,             0.88364,             0.95658,             0.80971,            0.015785,           0.0060157,           0.0024794,            0.000595,            0.000595,            0.000595
                  97,            0.015242,           0.0042242,           0.0013559,             0.99312,              0.8869,             0.95499,             0.80294,             0.01559,           0.0060274,           0.0024655,            0.000496,            0.000496,            0.000496
                  98,            0.014855,           0.0043423,           0.0014249,             0.99338,             0.88796,             0.95501,             0.80739,            0.014974,           0.0060446,            0.002448,            0.000397,            0.000397,            0.000397
                  99,            0.015213,           0.0044454,           0.0015063,             0.99457,              0.8885,             0.95513,             0.82282,            0.014919,           0.0060285,            0.002434,            0.000298,            0.000298,            0.000298
